codec,case,input_bytes,max_compressed_bytes
asmp-019-public,empty,0,2
asmp-019-public,small,24,12
asmp-019-public,text,109,90
asmp-019-public,repeated,4096,64
asmp-019-public,period257,65536,950
asmp-019-public,binary,2048,1230
asmp-019-public,long-repeat,70000,650
asmp-019-public,high-literals,112,128
asmp-023-wordextend-public,empty,0,2
asmp-023-wordextend-public,small,24,10
asmp-023-wordextend-public,text,109,83
asmp-023-wordextend-public,repeated,4096,55
asmp-023-wordextend-public,period257,65536,908
asmp-023-wordextend-public,binary,2048,1196
asmp-023-wordextend-public,long-repeat,70000,571
asmp-023-wordextend-public,high-literals,112,128
asmp-024-neonextend-public,empty,0,2
asmp-024-neonextend-public,small,24,10
asmp-024-neonextend-public,text,109,83
asmp-024-neonextend-public,repeated,4096,55
asmp-024-neonextend-public,period257,65536,908
asmp-024-neonextend-public,binary,2048,1196
asmp-024-neonextend-public,long-repeat,70000,571
asmp-024-neonextend-public,high-literals,112,128
asmp-stored-public,empty,0,5
asmp-stored-public,small,24,29
asmp-stored-public,text,109,114
asmp-stored-public,repeated,4096,4101
asmp-stored-public,period257,65536,65546
asmp-stored-public,binary,2048,2053
asmp-stored-public,long-repeat,70000,70010
asmp-stored-public,high-literals,112,117
asmp-auto-public,empty,0,2
asmp-auto-public,small,24,10
asmp-auto-public,text,109,83
asmp-auto-public,repeated,4096,55
asmp-auto-public,period257,65536,908
asmp-auto-public,binary,2048,1196
asmp-auto-public,long-repeat,70000,571
asmp-auto-public,high-literals,112,117
